MPA,Islas_estudio,RP,SB,S,C,Estudio,Type,Grupo de estudio,Number,Topic,year,Titulo,Autor,Resumen,Indicadores 
Revillagigedo,"Benedicto, Socorro y Roca Partida ",RP,SB,S,NA,Comparación,Tesis,Peces_c,1,Importancía economica y turistica,2015,"Estimación del valor económico total y catálogo de foto identificación de la manta gigante (Manta birostris Walbaum, 1792) en el archipiélago Revillagigedo",A. T. Ruiz,"Con el fin de evaluar la relevancia de la manta gigante (Manta birostris) en la actividad turística, se obtuvo su valor económico total (VET) en Revillagigedo. Además se realizó fotoidentificación, la cual contribuye a los esfuerzos de estimación poblacional. ","Valor Económico Total (VET), fotoidentificación"
Revillagigedo,Socorro,NA,NA,S,NA,Directo,Artículo,Invertebrados,1,Distribución,2015,"Densidad poblacional y distribución espacial de erizos de mar (Echinodermata: Echinoidea) en la Isla Socorro, Archipiélago de Revillagigedo, México","M.D. Herrero-Pérezrul, G. Ramírez-Ortiz, M. Rosales-Estrada, H. Reyes-Bonilla","Los estudios sobre equinodermos del Pacífico mexicano se han centrado en la taxonomía y la biogeografía, y existen pocos datos sobre su ecología. Usamos transectos para estudiar Diadema mexicanum, Echinometra mathaei oblonga, Eucidaris thouarsii y Tripneustes depressus en tres bahías de la Isla Socorro, Archipiélago de Revillagigedo, México (1989 y 1990). La especie más abundante en la isla fue E. mathaei oblonga (3,96 + 0,83 ind m-2; media y error estándar), seguida de D. mexicanum (2,13 + 0,59 ind m-2 ), T. depressus y E. thouarsii (entre 0,50 y 0,11 ind m-2 , respectivamente). En Binners Bay se registró la mayor densidad, con 15,98 + 0,43 ind m-2 , debido sobre todo a la elevada incidencia de E. mathaei oblonga en el lugar. Estacionalmente, T. depressus y E. thouarsii no variaron significativamente su abundancia durante el año, mientras que D. mexicanum fue más abundante en invierno-primavera, y E. mathaei oblonga en otoño. Dos especies (D. mexicanum y E. mathaei oblonga) tuvieron una distribución agregada a lo largo del año y en las tres localidades de estudio, pero los otros dos equinoideos siguieron una distribución aleatoria. Esto puede ser una defensa contra los abundantes peces depredadores. Por el contrario, las especies que no se agregan habitan en refugios durante el día (E. thouarsii), o su forma y tamaño las hace difíciles de capturar por los peces (T. depressus).",Prueba estadística de la media/varianza
Revillagigedo,Benedicto,NA,SB,NA,NA,Directo,Tesis licenciatura ,Invertebrados,1,Taxonomía ,2015,"Descripción de una nueva especie de abanico de mar del género Eugorgia (Cnidaria: Octocorallia: Gorgoniidae) del Archipiélago Revillagigedo, México",U.A. Olvera-Moreno,"En el Pacífico mexicano existe una extensa franja de arrecifes rocosos costeros altamente dinámicos que albergan una elevada diversidad y abundancia de abanicos de mar (gorgonaceos), sin embargo son pocos los estudios sobre taxonomía, biología y ecología. El Archipiélago Revillagigedo tiene características oceanográficas únicas y se localiza a más de 402 km del macizo continental, condiciones que han limitado las expediciones científicas y propician la posibilidad de encontrar nuevas especies. El género Eugorgia comprende 13 especies validas divididas en 4 grupos: “ampla”, “daniana”, “rubens” y “siedenburgae”, los cuales se distinguen por el tipo de ramificación, forma de los cálices, tamaño y proporción de las escleritas, y coloración de las colonias y escleritas. Las escleritas son utilizadas en las descripciones taxonómicas con propósitos cualitativos, sin embargo desde su descubrimiento se ha indagado sobre su posible utilidad en análisis morfométricos y taxonomía cuantitativa. Eugorgia nov. sp. pertenece al grupo “daniana” y se distingue por poseer colonias densamente ramificadas, crecimiento en varios planos simples y por presentar dos cromotipos (rojo y amarillo). Estas características morfológicas son resultado de un proceso de endemismo y aislamiento poblacional propio de las condiciones oceanográficas y los procesos de dispersión de Eugorgia nov. sp. Las biometrías de largo y ancho de escleritas de Eugorgia nov. sp., y de las especies del grupo “daniana” muestran diferencias intraespecíficas e interespecíficas. Sin embargo, no es completamente confiable diferenciar a cada especie por el tamaño de sus escleritas, debido a que las tallas de éstas siempre se traslapan. El uso de las escleritas como carácter diagnostico cuantitativo requiere nuevas investigaciones que exploten su potencial taxonómico. Con la descripción de Eugorgia nov. sp. aumenta a 14 el número de especies nominales del género Eugorgia y contribuye al conocimiento de la diversidad de octocorales de la costa del Pacífico mexicano",Identificación taxónomica
Revillagigedo,Roca Partida,RP,NA,NA,NA,Directo,Artículo,Mamíferos marinos,1,Distribución,2015,"Occasional presence of a California sea lion (Zalophus californianus) at Isla Roca Partida, Revillagigedo Archipelago, México",E.M. Hoyos-Padilla y  J.P. Gallo-Reynoso,"Los lobos marinos de California (Zalophus californianus) son una especie de amplia distribución en la costa nororiental de Estados Unidos y México; los antiguos límites de la distribución meridional de la especie eran el archipiélago de las Islas Marías. Desde la década de 1980 se han avistado varios ejemplares fuera de su área de distribución, tan al norte como Alaska en EE.UU. y tan al sur como Chiapas en México. Los individuos de la especie se mueven entre islas en sus colonias reproductivas; hay múltiples registros de individuos de varias clases de edad fuera de su límite sur, incluyendo un neonato en Manzanillo, Colima. Reportamos el primer registro de un macho subadulto en aguas de Roca Partida (18° 59' 41"" N, -112° 04' 07"" W), Archipiélago de Revillagigedo el 29 de noviembre de 2014. El individuo permaneció tres semanas en la zona. La observación tuvo lugar en condiciones tipo El Niño, en las que la temperatura del agua superficial del Pacífico aumentó de 1 a 1,5 °C por encima de lo normal. Este evento pudo haber causado que este individuo de león marino se alejara de la costa continental en busca de presas. Este león marino mostraba una buena condición corporal. Roca Partida, se encuentra a más de 650 km al suroeste de una antigua colonia de lobos marinos en Islas Marías, y a 600 km de la colonia reproductiva más cercana en Isla Santa Margarita, Baja California Sur, este registro muestra el alejamiento y desplazamiento ocasional de lobos marinos de California fuera de su distribución costera - continental.",Observación y fotografía 
Revillagigedo,Socorro,NA,NA,S,NA,Directo,Tesis licenciatura ,Invertebrados,1,Biogeografía ,2014,"Aspectos zoogeográficos de los crustáceos (Stomatopoda, Decapoda) del Archipiélago de Revillagigedo",M. Bonilla-Flores ,"Dentro del grupo de los crustáceos del Archipiélago de Revillagigedo, los estomatópodos y decápodos (Achelata, Anomura y Brachyura) han recibido una importante atención en su estudio, por lo cual se analizó la distribución mundial. Se examinó el material biológico recolectado en Isla Socorro y de la revisión exhaustiva de la literatura se recopiló la información sobre la distribución geográfica de las especies de estomatópodos y decápodos del A. de Revillagigedo, para determinar los patrones de distribución y las afinidades zoogeográficas en el Pacífico mexicano, en las provincias zoogeográficas, subregiones e islas oceánicas del Pacífico Este, así como en otros océanos. Con la examinación de 561 crustáceos estomatópodos y decápodos, se determinaron 43 especies, agrupadas en 33 géneros y 21 familias. De los registros de literatura y los de este estudio, el inventario taxonómico sumó un total de 38 familias, 83 géneros y 115 especies, siete de las cuales son registros nuevos para Isla Socorro; destacando el portúnido Thalamita picta Stimpson, 1858, cuya ampliación del límite de distribución fue de Isla Clipperton a Isla Socorro. Por otro lado, en I. Socorro se localizaron 43 especies exclusivas (37%), en I. Clarión 16  especies (14%) y en Isla San Benedicto sólo han sido recolectadas Nannosquillacaliforniensis (Manning, 1961) y Schmittius politus (Bigelow, 1891), representando el 2%. Del análisis de distribución de las especies de estomatópodos y decápodos del archipiélago, 105 (91%) de las especies mostraron una alta afinidad con la Provincia de Cortés y del análisis de agrupamiento permitió diferenciar dos grupos: 1) El  componente euritérmico, conformado por 27 especies (24%), cuya distribución fueen las provincias templado-cálidas de ambos hemisferios del Pacífico Este, como en las de la región tropical, 2) el grupo estenotérmico (76%) constituido en su mayoría por especies estenotérmicas, presentaron una distribución restringida en las provincias tropicales. El 71% de las especies se distribuyeron exclusivamente en la subregión del Pacífico Este Tropical, el resto se distribuyó en la subregión Pacífico Este Tropical y en una o en ambas subregiones templadas cálidas del Pacífico  americano. Asimismo, el 74% de las especies (85) se han registrado en alguna otra isla oceánica del Pacífico Este, detectándose una importante afinidad (61%) entre elA. de Revillagigedo y las I. Galápagos. Sólo el 16.5% de las especies de decápodos  analizados en este estudio tienen una distribución en otros océanos. De acuerdo a laliteratura, entre los principales factores que determinan la distribución de las especies de este estudio en el Pacífico americano son: la temperatura, las corrientes oceánicas, el tipo de hábitat preferente para establecerse y el periodo de duración  larval. Aunque se ha reconocido que durante el fenómeno de El Niño, lascondiciones oceanográficas, tienen un efecto positivo en la dispersión de las larva hacia las zonas templado-cálidas.",Inventario taxónomico 
Revillagigedo,NA,NA,NA,NA,NA,Comparación,Tesis,Pesca,1,Pesquería,2014,Factibilidad de la pesquería de ornato y co-menejo sostenible en áreas costeras e insulares,"Germain, N","Analiza la viabilidad de la pesca de ornato y la implementación de un modelo de co-manejo sostenible en áreas costeras e insulares, incluyendo un análisis del estado de la pesquería, la propuesta de un modelo de co-manejo sostenible y la evaluación de su factibilidad.",Pesquería de ornato
Revillagigedo,Todas,RP,SB,S,C,Directo,Artículo,Peces_o,1,Distribución,2014,"Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in waters surrounding the Revillagigedo Islands Archipelago Biosphere Reserve, Mexico","K. Schaefer, D. Fuller, G. Aldana","Los movimientos, el comportamiento y la utilización del hábitat del atún aleta amarilla, Thunnus albacares, tras su captura y liberación con ""archival tags"" en la Reserva de la Biosfera Archipiélago de las Islas Revillagigedo (RIABR), México, se describen a partir del análisis de 16 578 días de datos de series temporales, descargados de 52 marcas archivadoras recuperadas de aletas amarillas (78-173 cm de longitud y 1,7-8,0 años de edad) en libertad de 93 a 1773 días ( x = 411 días), recogidos durante 2006-2012. Se utilizó un modelo de filtro de Kalman no perfundido con mediciones de la temperatura de la superficie del mar integradas (UKFsst) para procesar los conjuntos de datos de las marcas archivadas y obtener estimaciones mejoradas de las posiciones geográficas, los rastros más probables (MPT) y los parámetros de movimiento. Los MPT indican movimientos restringidos, bajos niveles de dispersión y fidelidad del rabil al RIABR. La mediana de las estimaciones de los parámetros del modelo UKFsst para los errores de longitud (rx) y latitud (ry) fue de 0,46° y 1,84°, respectivamente, para los movimientos dirigidos (u y v) -0,05 NM día1 y -0,05 NM día1 , respectivamente, y para el movimiento dispersivo (D) 117,99 NM 2 día1 . Los análisis de los registros diarios cronometrados de profundidad y temperatura dieron lugar a la clasificación de los datos en cuatro comportamientos distintos. Existen diferencias significativas entre las edades en las duraciones de los comportamientos de buceo de Tipo I y Tipo II y en las distribuciones de utilización del hábitat vertical diurno y nocturno. La oceanografía que rodea el RIABR parece tener una profunda influencia en los movimientos, el comportamiento y la utilización del hábitat del rabil en esta zona.",Archival Tag
Revillagigedo,Clarión y Socorro ,NA,NA,S,C,Comparación,Artículo,Tortugas,1,Filogeografia,2014,Population structure and phylogeography reveal pathways of colonization by a migratory marine reptile (Chelonia mydas) in the central and eastern Pacific,"P. Dutton, M. Jensen, A. Frey, Erin L. LaCasella, G. Balazs, P. Zarate, Omar Chassin-Noria, Adriana Laura Sarti-Martinez, Elizabeth Vélez","El clima, el comportamiento, la ecología y la oceanografía determinan los patrones de biodiversidad de las faunas marinas en ausencia de barreras geográficas evidentes. Las tortugas marinas son un ejemplo de criaturas altamente migratorias con linajes evolutivos profundos e historias vitales complejas que abarcan tanto entornos terrestres como marinos. Estudios anteriores se han centrado en el profundo aislamiento de los linajes evolutivos (>3mya) a través de la vicarianza; sin embargo, se ha prestado poca atención a las vías de colonización del Pacífico oriental y a los procesos que han conformado la diversidad en el tiempo evolutivo más reciente. Secuenciamos 770 pb de la región de control del ADNmt para examinar la estructura de la población y la filogeografía de 545 tortugas verdes de ocho colonias diferentes del Pacífico central y oriental. Encontramos una diferenciación significativa entre las poblaciones que anidaban separadas geográficamente e identificamos cinco poblaciones distintas (FST = 0,08-0,44, P < 0,005). Chelonia mydas del Pacífico central y oriental forman un grupo monofilético que contiene 3 subclados, con Hawai más estrechamente relacionado con las poblaciones del Pacífico oriental que con las del Pacífico occidental. La división entre los haplotipos muestreados del Pacífico central/oriental y occidental se estimó en torno a 0,34 mya, lo que sugiere que la región del Pacífico al oeste de Hawai ha sido una barrera más formidable para el flujo genético en C. mydas que la barrera del Pacífico oriental. Nuestros resultados sugieren que el Pacífico oriental fue colonizado desde el Pacífico occidental a través del Pacífico central septentrional y que las islas Revillagigedos sirvieron de trampolín para la radiación de las tortugas verdes desde el archipiélago hawaiano hasta el Pacífico oriental. Nuestros resultados encajan con un paradigma más amplio que se ha descrito para la biodiversidad marina, en el que las islas oceánicas, como Hawai y Revillagigedo, en lugar de ser ""cementerios"" evolutivos periféricos, sirven como fuentes y receptores de diversidad y proporcionan un mecanismo para una mayor radiación.",ADN mitocondrial
Revillagigedo (y otras),Socorro,NA,NA,S,NA,Comparación,Tesis,Algas,1,Genética,2013,"Sistemática de las especies de algas coralinas (Corallinophycidae, Rhodophyta) formacdoras de mantos de rodolitos en el Pacífico Tropical Oriental","Ruiz-Robinson, N. M.","Describe la sistemática de las especies de algas coralinas que forman mantos de rodolitos en el POT, encontrando que existe una gran diversidad de especies, incluyendo especies nuevas. Además de analizar sus características morfológicas y moleculare y discuten las implicaciones de estos resultados para la comprensión de la biodiversidad y la evolución de las algas coralinas en la región.",Genética y taxonomía
Revillagigedo,Clarión y Socorro,NA,NA,S,C,Comparación,Tesis,Mamíferos marinos,1,Ánalisis poblacional,2013,Identidad poblacional y estructura social de la orca Orcinus orca (Linnaeus 1758) en el Pacífico mexicano ,"Guerrero-Ruiz, M","Se presenta un análisis detallado de la identidad poblacional y la estructura social de las orcas en la región. Se utilizan técnicas de fotografía de aletas y análisis genético para identificar y clasificar las diferentes poblaciones de orcas, y se estudian sus patrones de distribución y comportamiento.","Fotoidentificación, genética "
Revillagigedo,Todas,RP,SB,S,C,Comparación,Tesis,Invertebrados,1,Biogeografía ,2012,Composición y afinidades biogeográficas de esponjas (Demospongiae) asociadas a comunidades coralinas del Pacífico mexicano,"Vega-Juárez, C.","Los poríferos constituyen uno de los grupos más abundantes y diversos de los arrecifes coralinos, donde cumplen funciones ecológicas muy importantes. Sin embargo, la composición de especies, sus preferencias de hábitat y afinidades biogeográficas en el Pacífico mexicano y en general en el Pacífico oriental no se conocen. El objetivo de este trabajo es conocer la composición, distribución y afinidades biogeográficas de esponjas asociadas a comunidades coralinas del Pacífico mexicano. Los ejemplares fueron recolectados en 25 comunidades coralinas del Pacífico mexicano, desde las latitudes 24°N hasta la 10°N, por medio de búsqueda directa entre los 0.5 y los 12 m de profundidad. Posteriormente, se clasificó a las especies de acuerdo a sus preferencias de hábitat principales como endolíticas y epilíticas. Para establecer las afinidades biogeográficas se realizó un análisis de clasificación y un análisis de parsimonia de endemismos. Se han identificado 88 especies pertenecientes a 53 géneros, 35 familias y 12 órdenes. Del total de las especies, 55 eran conocidas previamente, 18 son nuevos registros, y 33 son probablemente nuevas para la ciencia. Con este trabajo el número de especies de esponjas asociadas a comunidades coralinas en el Pacífico mexicano aumenta de 35 a 88. Las esponjas con hábitos endolíticos presentaron mayor porcentaje en las comunidades coralinas Tipo 1 y Tipo 2 (57% y 54%, respectivamente), de estas, el 35% y 32% son esponjas que excavan el coral, y el 22% son crípticas (sobre la base y en el interior de cavidades de la matriz arrecifal). El 43 y 45% del total de las especies son esponjas epilíticas, de las cuales el 13 y 9% viven sobre roca o conchas de bivalvos, el 13 y 8% en esqueletos de corales y el 13 y 28% vive sobre coral vivo. En general las especies más comunes fueron las esponjas perforadoras Cliona vermifera, Thoosa mismalolli, Pione carpenteri, Aka cryptica y C. tropicalis. Esto sugiere que las esponjas en el Pacífico mexicano son pequeñas incrustaciones de hábitos crípticos y que la bioerosión es una de las funciones principales que desempeñan las esponjas en estos sistemas. Respecto a la distribución y a las afinidades biogeográficas, el 45% son exclusivas del Pacífico mexicano, 24 especies se distribuyen a lo largo del Pacífico oriental, 6 especies presentan distribución anfiamericana, 6 presentan amplia distribución, 5 especies son anfipacíficas, y 2 especies se distribuyen en el Indo-Pacífico. Los análisis de clasificación y PAE mostraron que en el Pacífico mexicano existe una relativa homogeneidad faunística, sin embargo, se pudieron separar cuatro ecoregiones: Cortesiana, Pacífico mexicano tropical, Revillagigedo y Clipperton; siendo la Cortesiana la más diversa con 60 especies. En el POT, hay una cierta separación entre la fauna del Pacífico mexicano y la de Centroamérica, mientras que las esponjas asociadas a comunidades coralinas del POT no presentan afinidad con las del Indo-Pacífico y Atlántico tropical. El gran número de especies con distribución exclusiva en el Pacífico mexicano las convierte en especies potencialmente endémicas. Este estudio representa una aportación nueva y completa de las esponjas asociadas a comunidades coralinas del Pacífico oriental tropical.",
Revillagigedo,Todas,RP,SB,S,C,Comparación,Artículo,Aves,1,Biogeografía ,2012,Biodiversity and biogeography of birds in Pacific Mexico along an isolation gradient from mainland Chamela via coastal Marias to oceanic Revillagigedo Islands,"I. Hahn, Steffen Hogeback, U. Römer, P. Catholic","Siguiendo un gradiente de aislamiento en el oeste de México se investiga la avifauna de tres áreas de estudio, en la reserva continental y en dos grupos de islas. Las avifaunas se describen y analizan en cuanto a riqueza de especies, atributos ambientales, endemismo, nichos ecológicos más amplios y estado de cría. La composición taxonómica se determina en diferentes niveles jerárquicos. La mayoría de los registros de especies proceden de Chamela continental (262), seguida de las Marías costeras (191) y los Revillagigedos oceánicos (148). De ellas, 139 especies de aves se reproducen en Chamela, 61 en las Marías y sólo 29 en los Revillagigedos. En total, en las tres zonas de estudio se registraron 364 especies, que pertenecen a 22 órdenes. En los grupos insulares se encuentran generalmente menos taxones por nivel jerárquico que en el continente, especialmente en los remotos Revillagigedos. Aquí se encuentra una media de 1,7 especies por género, 2,2 géneros por familia y 2,5 familias por orden. En el análisis de las relaciones de jerarquía taxonómica entre sí se identifica un gradiente de aislamiento: desde Chamela continental pasando por las Marías costeras hasta los Revillagigedos oceánicos el grado de parentesco disminuye por término medio. Los resultados apoyan la hipótesis teórica de que en las islas los taxones estrechamente emparentados tienden a excluirse entre sí y que un generalista tiende a sustituir a varios especialistas. Los nichos ecológicos pequeños no suelen estar ocupados por especies especialistas en las islas, sino que son utilizados por generalistas.","Riqueza específica, composición taxonómica"
Revillagigedo,Clarión,NA,NA,NA,C,Directo,Artículo,Aves,1,Reproducción,2012,"Description of the nest, eggs, and parental behavior of the clarion wren (Troglodytes tanneri), a vulnerable Island-endemic songbir","J. Sosa-López, J. Martínez-Gómez, Haydeé Hemández-Yáñez, D. Mennill ","El Chochín de Clarión (Troglodytes tanneri) es un pequeño pájaro cantor restringido a la Isla Clarión, una isla oceánica en el Archipiélago de Revillagigedo, México. Esta especie vive en hábitats abiertos por toda la isla, que tiene 6,4 km de ancho por 9,7 km de largo (Howell & Webb 1989, Brattstrom 1990). Se estima que el tamaño total de la población es de 340 a 400 individuos maduros (BirdLife International 2012). La Unión Internacional para la Conservación de la Naturaleza (UICN) clasifica a esta especie como ""vulnerable"" debido a la susceptibilidad de la isla a una invasión de pequeños mamíferos depredadores (p. ej., ratones, ratas; BirdLife International 2012). La mayoría de los aspectos de la ecología y el comportamiento del chochín pálido -incluidos los detalles de sus huevos, nidos y comportamiento parental- son desconocidos o poco conocidos. Investigaciones anteriores han proporcionado descripciones anecdóticas de nidos y huevos con escasos detalles (Anthony 1898, Brattstrom & Howell 1956, del Hoyo et al. 2005). Aquí ofrecemos la primera descripción exhaustiva y cuantitativa de los nidos, huevos y comportamiento parental de este pájaro cantor endémico y vulnerable.","Observación de nidos y su construcción, Huevos y tamaño de la puesta, Comportamiento parental"
Revillagigedo,Clarión y Socorro ,NA,NA,S,C,Comparación,Artículo,Invertebrados,1,Taxonomía,2011,New species of excavating sponges (Porifera: Demospongiae) on coral reefs from the Mexican Pacific Ocean,"J.A Cruz-Barraza, J.L Carballo, E. Bautista-Guerrero y H. Nava, H","Se han hallado tres nuevas especies de esponjas perforadoras de arrecifes coralinos en arrecifes remotos de la isla de Revillagigedo, un archipiélago situado a 386 km del continente. Cliona medinae sp. nov. es una esponja con papilas de color amarillo anaranjado caracterizadas por espirastras cortas casi rectas. Cliona tropicalis sp. nov., es una esponja papilada amarilla con un complemento de espículas similar al de las especies incluidas en el complejo Cliona viridis. Sin embargo, la nueva especie difiere del resto de especies principalmente en su morfología externa y por diferencias en el tamaño y forma de las espículas. Thoosa purpurea sp. nov. se caracteriza por su color púrpura, y el complemento espicular formado por tilóstilos, dos categorías de anfiasterios, oxiásteres bi-tri- y tetra-radiados y oxiásteres centrotiloides lisos o microespinados. Además, también se describe Cliothosa tylostrongylata sp. nov. de arrecifes coralinos del sur del Océano Pacífico mexicano. Se trata de una especie de color rojo claro, con tilostilos y tilostrongilos como megaescleros y anfiosterios ramosos y nodulosos como microescleros. Las cuatro especies se encontraron exclusivamente excavando esqueletos de corales vivos o muertos del género Pocillopora. Este estudio aumenta a 22 especies el número de esponjas perforadoras conocidas del Pacífico mexicano y es el primer estudio sobre la fauna de esponjas marinas del archipiélago de Revillagigedo.","Identificación morfológica,  toma de fotografías y descripciones taxonómicas"
Revillagigedo,Roca Partida,RP,NA,NA,NA,Directo,Artículo,Invertebrados,1,Distribución,2011,New records and range extensions of Astrodictyum panamense (Ophiuroidea: Gorgonocephalidae) in the eastern Pacific Ocean.,"Ayala-Bocos, A., Reyes-Bonilla, H., Herrero-Pérezrul, D., Walther-Mendoza, M. y Castañeda-Fernández, V.",Se presenta un nuevo registro del ofiuro A. panamense ,Registro
Revillagigedo,Socorro,NA,NA,S,NA,Directo,Artículo,Peces,1,Listado taxonómico,2010,"Lista de peces generada por censos visuales submarinos en la Isla Socorro Colima, México.","J. Chávez, M. Patiño, G. Calderón, C. Lezama, B. Lara, M. Ibarra y Bautista, S. ","Con el propósito de estudiar la ictiofauna de la Isla Socorro Colima (México), se identificaron 83 especies pertenecientes a 32 familias. Las familias con mayor número de especies fueron: Labridae con nueve, Serranidae, Balistidae y Pomacentridae con seis y Muranidae y Carangidae con cuatro.","Censos visuales, taxonomía"
Revillagigedo,Socorro,NA,NA,S,NA,Directo,Tesis de licenciatura ,Invertebrados,1,Ecología ,2011,"Contribución al estudio de la diversidad de Moluscos (gasterópodos) de Isla Socorro, Archipiélago de Revillagigedo, México",J. Aristeo-Hernández,"En este trabajo se aborda el estudio de la estructura comunitaria de invertebrados (moluscos) de la Isla Socorro del Archipiélago de Revillagigedo, México. El muestreo fue realizado durante el periodo del 20 de agosto al 6 de septiembre de 2008. Se realizaron catorce buceos acumulando un total de 328 hrs/hombre de recolecta con equipo de buceo autónomo y buceo libre. Se recolectaron 320 individuos, los cuales pertenecen a 19 familias, 23 géneros y 33 especies. Las especies más abundantes en orden descendiente fueron Cerithium maculosum, Plicopurpura columellaris y Turbo funiculosus. Las familias con mayor riqueza fueron Conidae y Muricidae con seis especies cada una. Las localidades con mayor diversidad fueron Bahía Vargas Lozano y Playa El Barquito. Los índices de diversidad obtenidos de toda la isla fueron Shannon-Wiener de 3.76 y Simpson 0.13. Se concluye que la estructura de las comunidades de moluscos está relacionada con los sitios de muestreo, así como las corrientes, huracanes y vientos, los cuales son propios del Pacífico Mexicano.",índices de diversidad
Revillagigedo,Clarión,NA,NA,NA,C,Directo,Artículo,Tortugas,1,Anidación tortugas marinas,2010,"The Importance of Isla Clarión, Archipelago Revillagigedo, Mexico, for Green Turtle (Chelonia mydas) Nesting", G. L. Holroyd y H.E. Trefry ,"Durante las dos últimas semanas de noviembre 2008, registramos 115 rastros de hembras nidificantes y 219 eventos de eclosión de tortugas verdes (Chelonia mydas) en una de las tres playas de Isla Clario ?n, Archipiélago Revillagigedo, México. En combinación con estudios individuales de las otras dos playas adecuadas, estimamos que hasta 500 nidos de tortuga verde fueron puestos en Isla Clarión dos períodos de 2 semanas, señalando así la importancia de Isla Clarión como un importante sitio de anidación para esta especie en peligro de extinción en el Océano Pacífico oriental. Se recomienda realizar más estudios y garantizar la protección para asegurar la conservación de esta población",Conteos de grupos concentrados de huellas de crías y conteo de huellas de madres anidadoras 
Revillagigedo,Todas,RP,SB,S,C,Comparación,Artículo,Invertebrados,1,Isometría ,2010,"Carapace relative growth of Trapezia Latreille, 1828 (Decapoda, Brachyura), crabs that are symbionts of hard corals, from Clipperton atoll and the Revillagigedo islands: ecological and zoogeographical implications","L. Sanvicente-Añorve, I. Salgado-Ugarte, M. Hermoso-Salazar,  V. Solís-Weiss","La dinámica de las metapoblaciones de decápodos se comprende mejor confrontando estudios teóricos con datos empíricos. En este estudio, nuestro objetivo fue analizar las características morfométricas y el crecimiento relativo del caparazón de Trapezia bidentata (Forskål, 1775) y T. digitalis Latreille, 1828, cangrejos de las islas Clipperton y Revillagigedo a fin de determinar el grado de similitud inter- e intraespecífica de las cuatro poblaciones insulares. Se examinaron 325 especímenes e identificaron cuatro especies: T. bidentata (72.9% de la abundancia total), T. digitalis (23.1%), T. formosa Smith, 1869 (3.4%) y T. corallina Gerstaecker, 1857 (0.6%). Para cada espécimen, se tomaron tres dimensiones del caparazón: ancho (CW), largo (CL) y distancia interocular (ID). Las variables CL e ID se ajustaron a una ecuación de tipo potencial tomando CW como la dimensión de referencia. Como en otros braquiuros, los análisis del patrón de crecimiento mostraron un tipo isométrico en todas las relaciones CW vs CL y CW vs ID examinadas. Las diferencias interespecíficas incluyeron un mayor tamaño corporal para T. bidentata y un mayor valor en el cociente ID/CW para T. digitalis. Se evidenciaron diferencias significativas intraespecíficas entre las dos poblaciones insulares de T. digitalis en el cociente ID/CW. En contraste, las poblaciones de T. bidentata fueron morfométricamente más semejantes. Estos resultados indican un mayor grado de conectividad en la metapoblación de T. bidentata que en aquella de T. digitalis, debido probablemente a diferencias en la duración de sus estados larvarios. Se piensa que la mayor talla corporal de T. bidentata representaría una mayor ventaja competitiva sobre el resto de las especies para atrapar alimento y seleccionar su hÆbitat. A su vez, para contrarrestar su pequeño tamaño, mayor ID permitiría a T. digitalis una mejor habilidad para percibir la 3D y juzgar la distancia relativa entre los objetos, evitando así combates competitivos y mejorando sus respuestas de escape y antidepredatorias.",Morfometría y crecimiento relativo
Revillagigedo,Clarión,NA,NA,NA,C,Directo,Artículo,Aves,1,Diversidad ,2009,"Birds of Clarion Island, Revillagigedo Archipelago, Mexico","R. Wanless, A. Aguirre-muñoz, A. Angel, J. Jacobsen, B. Keitt, Jack McCann","Registramos 62 especies de aves en la Isla Clarión, México (Archipiélago de Revillagigedo, Océano Pacífico) durante 1998-2006, ocho de las cuales se reproducen allí, 52 se consideran no reproductoras, y la reproducción es probable pero no confirmada para el Ave Tropical de Pico Rojo (Phaethon aethereus), el Piquero de Nazca (Sula granti), y una pardela no identificada. Treinta especies son nuevas para la isla. Un censo de la lechuza común (Athene cunicularia rostrata) en 2002/03 sugirió una población total máxima de ?850 parejas. Al menos 46 parejas de albatros de Laysan (Phoebastria immutabilis) criaron en 2002/03, pero la especie experimentó un fracaso total de cría durante nuestro estudio. Este resultado fue inesperado porque los jabalíes (Sus scrofa) fueron erradicados con éxito de Clarion en 2002; los cuervos endémicos de Clarion (Corvus corax clarionensis), una serpiente endémica (Clarion Racer, Masticophis anthonyi) y una hormiga no identificada se asociaron a fracasos de huevos y crías. Una pequeña colonia de una pardela no identificada podría ser una recolonización de la pardela de Townsend (Puffinus auricularis), endémica y en peligro crítico, o de la pardela de cola en cuña (P. pacificus), que no se ha registrado en la isla Clarion.",Diversidad especifica
Revillagigedo,Socorro,NA,NA,S,NA,Directo,Artículo,Mamíferos marinos,1,Área de alimentación,2008,"Migratory movements and surfacing rates of humpback whales (Megaptera novaeangliae) satellite tagged at Socorro Island, Mexico","Lagerquist, B. A., Mate, B. R., Ortega-Ortiz, J. G. y Winsor, M.","Los principales lugares de alimentación de las ballenas jorobadas de Revillagigedo se desconocian. Durante este estudio se trackearon 11 individuos y se observó que ocho partieron de Isla Socorro, cinco visitaron destinos mexicanos y siete se trasladaron al norte. Concluyendo que las rutas de migración fueron principalmente en altamar.","Rastreo satelital, areas de alimentación "
